attack_type,country,area,activity,sex,injury,fatal,time,species,age,year,month
Unprovoked,USA,Florida,Wading,F,Minor puncture wounds to right ankle,N,10h30,4' shark,10,2010,May
Provoked,USA,Florida,Measuring sharks,M,Arm bitten PROVOKED INCIDENT ,N,Afternoon,"Lemon shark, 6'",29,2010,April
Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,16h00,14' shark,68,2010,April
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Both feet bitten,N,10h00,2 m shark,35,2010,April
Unprovoked,EGYPT,Sinai Peninsula,Swimming / treading water,M,Lacerations to left ankle and foot,N,14h00,"Oceanic whitetip shark, 6'",24,2010,April
Unprovoked,REUNION,Saint-Benoit,Surfing,M,"No injury, board bitten",N,11h00,1.5 m shark,34,2010,March
Unprovoked,NEW ZEALAND,South Island,Swimming,M,Bruised but otherwise unhurt,N,Night,Possibly a blue shark,not declared,2010,unknown
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Lacerations to right leg,N,11h00,3 m shark,not declared,2010,February
Unprovoked,FIJI,Off Vanua Levu,Scuba diving,M,FATAL,Y,09h30,unknown,19,2010,February
Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,Lacerations to legs & buttocks,N,13h30,2 m shark,60,2010,February
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Minor injury, lacerations to left lower leg",N,08h00,"Wobbegong shark, 1.6m",46,2010,February
Provoked,NEW ZEALAND,South Island,Spearfishing,M,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",N,unknown,2 m to 3 m shark,not declared,2010,February
Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,"No injury, shark & board collided",N,15h30,"White shark, 2.5m",18,2010,February
Provoked,USA,Florida,Surf fishing / wading,M,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,15h00,"Spinner shark, 6'",not declared,2010,February
Invalid,GUAM,Merizo,Spearfishing (free diving),M,Shark bites were post-mortem,unknown,11h00,Invalid,31,2010,February
Unprovoked,USA,Florida,Kite Boarding,M,FATAL,Y,15h44,unknown,38,2010,February
Provoked,NEW ZEALAND,South Island,Boogie Boarding,F,Stepped on shark PROVOKED INCIDENT,N,18h30,1.5 m shark,14,2010,February
Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,M,Foot bitten,N,unknown,Thought to involve a juvenile hammerhead shark,29,2010,January
Unprovoked,AUSTRALIA,Queensland,Surfing,M,"No injury, surfboard bitten",N,16h30,unknown,not declared,2010,January
Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,Surfing,M,Laceration to bottom of foot,N,Evening,unknown,54,2010,January
Unprovoked,AUSTRALIA,Victoria,Surfing,M,Lacerations to right hand ,N,07h30,unknown,not declared,2010,January
Unprovoked,SOUTH AFRICA,Western Province,Standing,M,FATAL,Y,15h15,White shark,37,2010,January
Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,F,2 sets of minor lacerations below her right knee,N,unknown,"Whitetip reef shark, 1m",9,2010,January
Unprovoked,VIETNAM,Binh Dinh Province,unknown,F,Minor injuries,N,unknown,unknown,not declared,2010,January
Unprovoked,VIETNAM,Binh Dinh Province,unknown,M,Right wrist bitten,N,17h00,unknown,not declared,2010,January
Unprovoked,VIETNAM,Binh Dinh Province,Bathing,M,Left arm bitten twice,N,06h45,unknown,not declared,2010,January
Unprovoked,USA,Florida,Spearfishing,M,Lacerations to  arm,N,10h15,unknown,32,2010,January
Unprovoked,SOUTH AFRICA,Eastern Province,Surfing,M,"No injury, reportedly knocked of his board by a shark",N,unknown,unknown,not declared,2010,January
Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,M,Lacerations to  left foot,N,08h30,unknown,20,2009,December
Provoked,AUSTRALIA,New South Wales,Swimming,M,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,11h00,unknown,55,2009,December
Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,M,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16h30,"Zambesi shark, 2m ",27,2009,December
Boating,AUSTRALIA,Queensland,Kayaking,M,"No injury to occupants, kayak bumped by shark",N,11h00,unknown,not declared,2009,December
Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Lacerations to hand & forearm,N,07h30,"Bull shark, 3m",18,2009,December
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,M,FATAL,Y,14h30,unknown,22,2009,December
Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",unknown,unknown,No shark involvement,not declared,2009,December
Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,M,FATAL,Y,unknown,"White shark, 2.8 to 3 m ",24,2009,December
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Laceration to big toe,N,07h00,unknown,39,2009,December
Boating,AUSTRALIA,New South Wales,Rowing,not declared,No injury to occupants; shark bit steering oar,N,07h30,White shark,not declared,2009,December
Provoked,USA,New Jersey,Diving,M,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,13h00,"Sandtiger shark, 8'",58,2009,December
Invalid,USA,California,Surfing,M,Puncture wounds to right foot,unknown,15h30,Shark involvement not confirmed,49,2009,November
Unprovoked,USA,Florida,Wading,M,Left foot bitten,N,Morning,6' shark,10,2009,November
Unprovoked,USA,California,Fishing,M,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16h45,Thresher shark,31,2009,November
Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,09h30,unknown,22,2009,November
Unprovoked,USA,Florida,Surfing,F,Foot bitten,N,16h30,unknown,27,2009,November
Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,Afternoon,4' shark,18,2009,November
Unprovoked,AUSTRALIA,South Australia,Kayaking,M,Ankle bitten,N,10h30,2 m shark,25,2009,November
Unprovoked,USA,California,Surfing,M,"No injury, board broken in half",N,Dusk,unknown,21,2009,November
Boating,AUSTRALIA,Victoria,Kayaking,M,"No injury, shark bit kayak",N,Morning,"White shark, 4m",27,2009,October
Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,Left ankle & foot bitten,N,unknown,Zambesi shark,not declared,2009,October
Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,F,"No injury, shark bit rear of paddleboard",N,07h00,unknown,17,2009,October
Unprovoked,USA,California,Surfing,M,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,17h30,unknown,not declared,2009,October
Unprovoked,USA,Hawaii,Surfing,M,Bitten on upper right thigh & right ankle,N,06h00,6' to 8' shark,54,2009,October
Unprovoked,PANAMA,Bocas,Wading,F,Arm & torso bitten,N,18h30,unknown,10,2009,October
Provoked,SCOTLAND,Fife,Diving,M,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,14h45,Angel shark,23,2009,October
Unprovoked,AUSTRALIA,Western Australia,Diving,M,Severe lacerations to lower right leg,N,unknown,"Bull shark, 10'",23,2009,October
Unprovoked,USA,California,Surfing,M,Laceration to shin of left leg,N,11h00,unknown,not declared,2009,October
Provoked,UNITED KINGDOM,Devon,Fishing,M,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,12h50,Spurdog,39,2009,October
Unprovoked,USA,Florida,Swimming,M,Laceration to right foot,N,17h30,"Bull shark, 8'",not declared,2009,September
Unprovoked,VIETNAM,unknown,unknown,M,Lower right leg bitten,N,unknown,unknown,not declared,2009,September
Provoked,SOMALIA,unknown,Fishing,M,Arm bitten PROVOKED INCIDENT ,N,unknown,unknown,not declared,2009,September
Provoked,BRAZIL,Pernambuco,unknown,M,Cause of death was drowning; his remains were scavenged by sharks,Y,unknown,unknown,34,2009,September
Invalid,USA,North Carolina,Swimming,M,FATAL,Y,21h00,Shark involvement prior to death not confirmed,60,2009,September
Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",M,FATAL,Y,Afternoon,unknown,15,2009,September
Invalid,NEVIS,unknown,Swimming,M,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,unknown,unknown,Invalid,not declared,2009,September
Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,M,Injuries to face & neck PROVOKED INCIDENT,N,unknown,unknown,not declared,2009,September
Unprovoked,USA,California,Surfing,M,No injury,N,18h30,4' shark,not declared,2009,August
Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,FATAL,Y,15h30,White shark,25,2009,August
Unprovoked,USA,California,Swimming,F,Puncture wounds to left foot & calf,N,16h30,"White shark, 5' to 6' juvenile ",22,2009,August
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,M,"No injury, shark bit bodyboard",N,Lunchtime,"White shark, 2m",not declared,2009,August
Unprovoked,USA,Florida,Swimming,M,Puncture marks on left foot,N,19h00,unknown,26,2009,August
Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,08h45,"Tiger shark, 12",not declared,2009,August
Unprovoked,USA,Louisiana,Wade Fishing,M,Right ankle & foot bitten,N,10h00,Bull shark?,56,2009,August
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to calf,N,unknown,Bull shark,14,2009,July
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left forearm grazed & puncture marks in wetsuit,N,06h15,unknown,14,2009,July
Unprovoked,VIETNAM,Binh Dinh Province,Swimming,F,Foot bitten,N,17h30,unknown,41,2009,July
Unprovoked,KENYA,Mombasa,Washing his feet,M,FATAL,Y,unknown,unknown,not declared,2009,July
Unprovoked,USA,Texas,Wading,F,Lacerations to anterior left lower leg,N,Afternoon,unknown,14,2009,July
Invalid,SPAIN,Catalunya,Swimming,F,Laceration to left foot,unknown,10h15,Shark involvement questionable,11,2009,July
Unprovoked,USA,North Carolina,Swimming,F,Laceration to left foot,N,15h00,unknown,26,2009,July
Unprovoked,USA,Florida,Swimming,F,Laceration to lower right leg,N,15h00,unknown,19,2009,July
Unprovoked,VIETNAM,Binh Dinh Province,Swimming,M,Severe bite to right leg,N,unknown,unknown,57,2009,July
Provoked,BAHAMAS,unknown,Spearfishing,M,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,unknown,"Caribbean reef shark, 6'",not declared,2009,July
Unprovoked,USA,California,Paddle-surfing,M,"No injury, shark collided with surfer & board",N,08h30,5' shark,not declared,2009,July
Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Leg bitten,N,11h15,unknown,37,2009,July
Unprovoked,USA,Florida,Boogie Boarding,F,Right ankle bitten,N,16h00,unknown,12,2009,July
Provoked,USA,Florida,Swimming,F,Thigh injured by hooked shark PROVOKED INCIDENT,N,15j45,"Nurse shark, 6'",43,2009,July
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,2-inch laceration to upper left arm,N,08h45,"Thought to involve a Bronze whale shark, 2m",52,2009,June
Invalid,USA,California,Surfing,M,Puncture wounds to foot,unknown,unknown,Shark involvement not confirmed,26,2009,June
Invalid,USA,Florida,Crawling,M,2-inch laceration to upper left arm,unknown,17h30,"Shark involvement probable, but not confirmed",14,2009,June
Provoked,VIETNAM,unknown,Fishing for sharks,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,unknown,White shark,not declared,2009,June
Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,Lacerations to left hand,N,unknown,Oceanic whitetip shark,not declared,2009,June
Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,3 cm laceration to shoulder,N,unknown,Oceanic whitetip shark,not declared,2009,June
Unprovoked,EGYPT,St. Johns Reef,Snorkeling,F,FATAL,Y,Morning,"Oceanic whitetip shark, 2.5 to 3m",50,2009,June
Provoked,TAIWAN,Off Green Island,Fishing,M,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N,20h30,80 kg shark,46,2009,May
Provoked,USA,Florida,Swimming,M,Right foot bitten,N,20h30,5' to 8' shark,not declared,2009,May
Unprovoked,USA,Florida,Surfing,M,Lacerations to left leg & foot,N,09h35,blacktip or spinner shark,31,2009,May
Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,10h27,blacktip or spinner shark,49,2009,May
Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand,N,10h16,blacktip or spinner shark,55,2009,May
Provoked,GUAM,North Region,Spearfishing,M,Speared shark bit his forearm PROVOKED INCIDENT,N,Afternoon,"Blacktip shark, 4'",27,2009,May
Provoked,BAHAMAS,Exuma Islands,Spearfishing,M,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N,unknown,7' shark,48,2009,March
Unprovoked,USA,Florida,unknown,F,Multiple lacerations to right foot & ankle,N,16h45,unknown,not declared,2009,April
Unprovoked,USA,California,Surfing,M,No injury,N,10h00,unknown,not declared,2009,April
Unprovoked,USA,Florida,Surfing,M,3 puncture wounds to posterior right ankle,N,Late afternoon,unknown,20,2009,April
Unprovoked,PHILIPPINES,Batangas province,Swimming,M,Legs bitten,N,0500,unknown,23,2009,April
Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,16h00,unknown,52,2009,April
Unprovoked,USA,Florida,Surfing,M,Laceration to forearm,N,13h15,2' to 3' shark,31,2009,April
Invalid,USA,Hawaii,Spearfishing,M,Missing,unknown,unknown,Shark involvement not confirmed,49,2009,April
Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,M,"No injury, catapulted into the water & ski damage",N,08h00,2' to 3' shark,40,2009,April
Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Body not recovered,unknown,Morning,Shark involvement not confirmed,24,2009,April
Unprovoked,USA,California,Spearfishing,M,Shark struck him but the diver was not injured,N,07h45,"White shark, 12' to 15' female",not declared,2009,April
Unprovoked,USA,Florida,Wading,M,Lacerations to right foot and ankle,N,16h00,unknown,15,2009,April
Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing ,M,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N,unknown,Raggedtooth shark,59,2009,March
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,Afternoon,unknown,16,2009,March
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Laceration to right foot, puncture wounds to calf",N,18h45,Bronze whaler shark?,17,2009,March
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark damaged surfboard",N,Early morning,unknown,not declared,2009,March
Unprovoked,AUSTRALIA,New South Wales,Surfing,F,"No injury, shark bit nose of surfboard",N,07h45,unknown,not declared,2009,March
Unprovoked,USA,Florida,Surfing,F,Minor bite to ankle,N,17h30,3' to 4' shark,17,2009,March
Unprovoked,MALAYSIA,Strait of Malacca,Feeding fish,F,Minor injury,N,unknown,Blacktip reef shark pup,not declared,2009,March
Unprovoked,USA,Hawaii,Swimming,M,"Minor injury, bite chest and left calf",N,20h00,Thought to involve a cookie cutter shark,61,2009,March
Provoked,AUSTRALIA,Western Australia,Wading,M,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N,unknown,"Wobbegong shark, 60cm",21,2009,March
Unprovoked,NEW CALEDONIA,South Province,Surfing,M,FATAL,Y,11h30,unknown,19,2009,March
Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,13h30,"Blue shark, 1m",40,2009,March
Boatomg,NEW ZEALAND,North Island,Fishing,M,"No injury to occupants, shark bit propeller",N,unknown,unknown,not declared,2009,March
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations to leg,N,06h45,2.6 m shark,15,2009,March
Unprovoked,AUSTRALIA,Queensland,Fishing,M,Severe laceration to finger,N,10h15,unknown,not declared,2009,February
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury to surfer, but the nose of his board was broken",N,17h00,unknown,not declared,2009,February
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to hand ,N,19h30,"White shark, 2.5m ",33,2009,February
Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",M,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00,"Bull shark, 2.7 m ",31,2009,February
Sea Disaster,USA,Puerto Rico,Air Disaster,M,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y,unknown,unknown,not declared,2009,February
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, surfboard dented",N,11h00,"White shark, 12' ",41,2009,February
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, flung from surfboard by the shark",N,07h30,unknown,not declared,2009,February
Provoked,AZORES,unknown,Fishing,M,Left forearm bitten PROVOKED INCIDENT,N,unknown,unknown,49,2009,January
Invalid,BRAZIL,unknown,unknown,M,Probable drowning with post-mortem bites,unknown,unknown,Shark involvement prior to death was not confirmed,17,2009,January
Unprovoked,CUBA,Guantanamo Province,Spearfishing,M,Severe lacerations to lower left leg,N,10h30,Bull shark,15,2009,January
Boat,NEW ZEALAND,North Island,Fishing,not declared,"No injury to occupant, shark removed small auxiliary outboard motor",N,19h00,unknown,not declared,2009,January
Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Hand injured,N,16h30,unknown,19,2009,January
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,FATAL,Y,14h00,Tiger shark,25,2009,January
Invalid,BRAZIL,Maranhão,Swimming,M,"Drowned, body scavenged by shark",unknown,unknown,Invalid,17,2009,January
Boat,AUSTRALIA,Victoria,Fishing,M,"No injury to occupants, shark bit propeller",N,09h20,"White shark, 5.5 m ",not declared,2009,January
Unprovoked,NEW ZEALAND,South Island,Surfing,M,"No injury, bumped off board by the shark",N,unknown,unknown,not declared,2009,January
Unprovoked,SOUTH AFRICA,Western Cape Province,unknown,not declared,FATAL,Y,unknown,White sharks,not declared,2009,January
Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,Puncture wounds to right calf,N,10h45,"Dusky shark, 2m",24,2009,January
Unprovoked,AUSTRALIA,Tasmania,Surfing,F,Severe lacerations to right leg,N,15h45,"White shark, 5m",13,2009,January
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left thigh severely bitten,N,09h00,"White shark, 3.5m",31,2009,January
Boat,NEW ZEALAND,North Island,Fishing,not declared,"No injury to occupants, shark hit boat & bit outboard motor",N,unknown,"Mako shark, 3m",not declared,2009,January
Unprovoked,ECUADOR,Galapagos Islands,Surfing,M,Right lower leg bitten & defense wounds to hand,N,unknown,unknown,22,2009,January
Unprovoked,NEW ZEALAND,North Island,Swimming,M,Posterior thigh bitten,N,17h30,Broadnose sevengill shark,49,2009,January
Unprovoked,CUBA,Guantanamo Province,Spearfishing,not declared,Lacerations to right calf,N,unknown,Bull shark,not declared,2009,unknown
Invalid,AUSTRALIA,Western Australia,Crabbing,not declared,"Reports said a shark attacked the dinghy, but Vickery said it did not",unknown,09h30,No shark involvement,not declared,2008,December
Boating,AUSTRALIA,Tasmania,Yacht race,not declared,No injury to occupants -  shark became entangled in aft rudder,N,unknown,2 m shark,not declared,2008,December
Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,M,"No injury, shark tore his swim fin",N,unknown,unknown,10,2008,December
Boating,AUSTRALIA,New South Wales,Kayaking,M,"No injury, shark struck kayak, catapulting him into the water",N,11h00,"White shark, 4m to 5m ",29,2008,December
Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,FATAL,Y,07h00,4 to 5m white shark,51,2008,December
Boating,USA,California,Kayaking,M,"No injury, shark struck paddle",N,15h00,White shark,not declared,2008,December
Unprovoked,NEW ZEALAND,North Island,Fishing,M,Lacerations to left calf and ankle,N,unknown,Bronze whaler shark?,not declared,2008,December
Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00,"Raggedtooth shark, 2m",15,2008,December
Boating,AUSTRALIA,New South Wales,Fishing,not declared,Shark bit boats sea anchor,N,Morning,"White shark, 4.5 to 5 m ",not declared,2006,December
Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,FATAL,Y,unknown,Zambesi shark?,not declared,2008,unknown
Unprovoked,EGYPT,Red Sea,Scuba diving,F,Lacerations to fingers,N,Morning,Oceanic whitetip shark,not declared,2008,November
Sea Disaster,PHILIPPINES,Batanes Provine,Sinking of the cargo ship Mark Jason,M,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",N,unknown,unknown,not declared,2008,November
Unprovoked,ECUADOR,Galapagos Islands,unknown,F,Leg bitten,N,unknown,unknown,not declared,2008,November
Boating,AUSTRALIA,South Australia,Fishing,M,"No injury to occupant, shark bit dinghy & motor",N,unknown,Bronze whaler shark,not declared,2008,November
Sea Disaster,TAIWAN,unknown,Fishing boat swamped in storm,M,FATAL,Y,unknown,unknown,45,2008,November
Unprovoked,PHILIPPINES,Luzon,Fishing,M,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00,unknown,39,2008,November
Provoked,AUSTRALIA,New South Wales,Scuba diving,M,Small laceration to head from captive shark,N,17h20,"Grey nurse shark, 3m",34,2008,October
Unprovoked,NEW CALEDONIA,unknown,Spearfishing,M,Legs bitten,N,11h00,Lemon shark,24,2008,October
Provoked,AUSTRALIA,Northern Territory,Fishing,M,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N,unknown," reef shark, 1.8m",50,2008,October
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, board damaged",N,15h30,unknown,15,2008,October
Unprovoked,USA,Florida,Fishing,M,Lacerations,N,12h00,unknown,11,2008,October
Unprovoked,CROATIA," Split-Dalmatia Count,",Spearfishing,M,Calf bitten,N,12h00,5 m white shark,43,2008,October
Unprovoked,USA,Florida,Surfing,M,Small puncture wounds to the heel of left foot,N,11h45,unknown,44,2008,September
Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,11h00,+3' shark,40,2008,September
Provoked,AUSTRALIA,Northern Territory,Swimming,M,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30,Bronze whaler shark,43,2008,September
Unprovoked,USA,Florida,Swimming,M,Lacerations to foot,N,12h00,2' to 3' juvenile shark,32,2008,September
Unprovoked,USA,Hawaii,Surfing,M,Bitten on right thigh & calf,N,16h30,Tiger shark,40,2008,September
Unprovoked,USA,California,Surfing,M,"No injury to surfer, board bitten",N,10h30,"White shark, 14' to 16' ",not declared,2008,September
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,3 m shark,51,2008,September
Unprovoked,USA,Florida,Surfing,M,Minor injury to foot,N,12h00,unknown,43,2008,September
Unprovoked,USA,Florida,Surfing,M,Minor injury to foot,N,12h00,unknown,15,2008,September
Unprovoked,USA,Florida,Surfing,M,Shark bumped right ankle,N,10h00,4' shark,52,2008,September
Unprovoked,USA,Florida,Surfing,M,Right hand bitten,N,Morning,unknown,not declared,2008,unknown
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, bumped off board by the shark",N,unknown,unknown,29,2008,August
Invalid,USA,Hawaii,Swimming,M,Death was probably due to drowning,unknown,19h20,Shark involvement not confirmed,27,2008,August
Provoked,ENGLAND,North Devon,Fishing,M,Wrist bitten by hooked shark PROVOKED INCIDENT,N,unknown,Blue shark,52,2008,August
Unprovoked,USA,Florida,Surfing,M,Superfical cut to left ankle,N,12h00,unknown,19,2008,August
Unprovoked,USA,Florida,Surfing,M,Lacerations to lower left leg,N,11h00,6' shark,26,2008,August
Unprovoked,USA,Florida,"Swimming, towing surfboard",M,Minor injury to left foot,N,15h00,unknown,20,2008,August
Invalid,USA,North Carolina,Surfing,F,Calf bitten,unknown,18h00,Shark involvement not confirmed,20,2008,August
Unprovoked,USA,Florida,Swimming,M,3 lacerations to forearm,N,14h45,unknown,47,2008,August
Invalid,USA,South Carolina,unknown,M,Minor injuries,unknown,unknown,Shark involvement not confirmed,7,2008,August
Unprovoked,USA,US Virgin Islands,Treading water,F,Severe lacerations to left foot,N,Dusk,8' bull shark or Caribbean reef shark,38,2008,August
Unprovoked,USA,Florida,Wading,F,Puncture wounds & 3-inch laceration to right calf,N,12h05,unknown,13,2008,August
Unprovoked,USA,Hawaii,Diving,M,"No injury, shark grabbed his bag of fish",N,14h00,"Tiger shark, 12'",not declared,2008,August
Unprovoked,AUSTRALIA,Victoria,Surfing,M,"No injury, surfboard leash severed",N,10h30,8' white shark or 7-gill shark,31,2008,July
Unprovoked,SOUTH AFRICA,unknown,unknown,M,Lacerations to fingers,N,unknown,White shark,not declared,2008,July
Unprovoked,PANAMA,San Carlos,Swimming or surfing,M,5 lacerations to left foot,N,18h00,3'  shark,not declared,2008,July
Unprovoked,MEXICO,Cabo San Lucas,Swimming,M,3 puncture wounds to toe,N,unknown,2'  shark,33,2008,July
Unprovoked,USA,Hawaii,Swimming,M,Minor injury,N,15h30,2' to 3' reef shark,not declared,2008,July
Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,09h00,unknown,17,2008,July
Unprovoked,USA,Hawaii,Snorkeling,F,Forearm bitten ,N,08h45,unknown,44,2008,July
Unprovoked,USA,North Carolina,Wading,M,Minor lacerations to  toe,N,unknown,3' shark,9,2008,July
Unprovoked,USA,North Carolina,Wading,F,Lacerations to dorsum of right foot ,N,13h00,3' to 4' shark,8,2008,July
Provoked,USA,Florida,Surfing,M,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,14h30,unknown,15,2008,July
Unprovoked,USA,Florida,Wading,M,Lacerations to lower left leg,N,13h55,4' shark,16,2008,July
Unprovoked,EGYPT,unknown,Diving,M,Leg severed,N,unknown,Oceanic whitetip shark,not declared,2008,July
Invalid,USA,North Carolina,Body surfing,M,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",unknown,unknown,Shark involvement not confirmed,52,2008,July
Unprovoked,USA,South Carolina,Surfing,M,Laceration to foream,N,14h00,unknown,24,2008,July
Unprovoked,USA,North Carolina,Swimming,F,Lacerations to  right foot,N,19h30,unknown,14,2008,July
Unprovoked,USA,South Carolina,unknown,F,Lacerations to right foot,N,14h21,unknown,17,2008,July
Boating,UNITED KINGDOM,Sussex,Rowing an inflatable dinghy,M,Shark leapt into & damaged the dinghy but no injury to occupants,N,unknown,"Starry smoothhound shark, 1m",16,2008,unknown
Invalid,USA,Hawaii,Wading,M,Probable drowning with post-mortem bites,unknown,Afternoon,Shark involvement prior to death not confirmed,53,2008,June
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to calf,N,11h00,"Bull shark, 6' to 7'",42,2008,June
Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,"No injury, ski bitten",N,14h00,"White shark, 2m",46,2008,June
Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing (free diving),M,No injury,N,unknown,"White shark, 4.5m",not declared,2008,June
Unprovoked,USA,Florida,Surfing,M,Minor laceration to foot,N,Afternoon,unknown,29,2008,June
Unprovoked,USA,South Carolina,Swimming,M,Lacerations to hand,N,11h15,4.5 to 5' shark,37,2008,June
Unprovoked,BRAZIL,Bahia,Surfing,M,"No injury, board bitten",N,Morning,unknown,not declared,2008,June
Boating,USA,California,Kayaking,F," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00,"White shark, 15'",40,2008,June
Unprovoked,USA,Florida,Wading,F,Lacerations to lower right calf,N,11h10,unknown,35,2008,June
Unprovoked,BRAZIL,Pernambuco,Surfing,M,Laceration to left leg & foot,N,unknown,unknown,14,2008,June
Unprovoked,USA,Florida,Body surfing,M,Lacerations & abrasions to right hand,N,unknown,unknown,40,2008,June
